Name,MarketCap,Sales,Market_Cap_Category,Sales_Qrt_Category,PS_Ratio
Reliance Inds.,583436.72,99810.0,Large Cap,High Sales,5.85
TCS,563709.84,30904.0,Large Cap,High Sales,18.24
HDFC Bank,482953.59,20581.27,Large Cap,High Sales,23.47
ITC,320985.27,9772.02,Large Cap,High Sales,32.85
H D F C,289497.37,16840.51,Large Cap,High Sales,17.19
Hind. Unilever,288265.26,8590.0,Large Cap,High Sales,33.56
Maruti Suzuki,263493.81,19283.2,Large Cap,High Sales,13.66
Infosys,248320.35,17794.0,Large Cap,High Sales,13.96
O N G C,239981.5,22995.88,Large Cap,High Sales,10.44
St Bk of India,232763.33,57014.08,Large Cap,High Sales,4.08
ICICI Bank,203802.35,13665.35,Large Cap,High Sales,14.91
Kotak Mah. Bank,199253.77,6390.71,Large Cap,High Sales,31.18
Coal India,192677.98,21643.28,Large Cap,High Sales,8.9
Larsen & Toubro,180860.74,28747.45,Large Cap,High Sales,6.29
I O C L,178017.48,110666.93,Large Cap,High Sales,1.61
Bharti Airtel,167131.29,20318.6,Large Cap,High Sales,8.23
Axis Bank,136380.76,11721.55,Large Cap,High Sales,11.64
NTPC,135390.53,20774.37,Large Cap,High Sales,6.52
Sun Pharma.Inds.,134241.36,6653.23,Large Cap,High Sales,20.18
Hind.Zinc,133266.56,5922.0,Large Cap,High Sales,22.5
Wipro,131840.57,13669.0,Large Cap,High Sales,9.65
HCL Technologies,126335.27,12809.0,Large Cap,High Sales,9.86
Vedanta,122184.17,24361.0,Large Cap,High Sales,5.02
Tata Motors,117071.87,74156.07,Large Cap,High Sales,1.58
UltraTech Cem.,113692.87,8019.24,Large Cap,High Sales,14.18
Asian Paints,108044.04,4260.52,Large Cap,High Sales,25.36
Power Grid Corpn,102016.01,7506.95,Large Cap,High Sales,13.59
B P C L,98278.0,60616.36,Large Cap,High Sales,1.62
IndusInd Bank,97379.96,4286.78,Large Cap,High Sales,22.72
Bajaj Fin.,94476.77,3540.63,Large Cap,High Sales,26.68
Bajaj Auto,88252.6,6369.34,Large Cap,High Sales,13.86
M & M,88142.35,11577.78,Large Cap,High Sales,7.61
HDFC Stand. Life,87358.23,9734.9,Large Cap,High Sales,8.97
Adani Ports,81781.89,2688.85,Large Cap,Medium Sales,30.42
Bajaj Finserv,79795.11,7665.4,Large Cap,High Sales,10.41
GAIL (India),78670.97,14414.34,Large Cap,High Sales,5.46
Avenue Super.,74066.35,4094.82,Large Cap,High Sales,18.09
Titan Company,73886.0,4274.84,Large Cap,High Sales,17.28
JSW Steel,73870.26,17861.0,Large Cap,High Sales,4.14
Grasim Inds,73532.62,15291.42,Large Cap,High Sales,4.81
Tata Steel,73376.14,32464.14,Large Cap,High Sales,2.26
Eicher Motors,73311.41,2269.01,Large Cap,Medium Sales,32.31
Nestle India,73015.49,2601.46,Large Cap,Medium Sales,28.07
Godrej Consumer,71859.82,2630.3,Large Cap,Medium Sales,27.32
Yes Bank,71028.13,5070.3,Large Cap,High Sales,14.01
Hero Motocorp,69448.66,7305.49,Large Cap,High Sales,9.51
Motherson Sumi,68590.33,14397.85,Large Cap,High Sales,4.76
SBI Life Insuran,67465.0,9569.97,Large Cap,High Sales,7.05
General Insuranc,66316.32,8557.68,Large Cap,High Sales,7.75
Dabur India,60015.0,1966.44,Large Cap,Medium Sales,30.52
Bosch,59204.28,3071.92,Large Cap,High Sales,19.27
Shree Cement,58987.08,2296.23,Large Cap,Medium Sales,25.69
New India Assura,58108.48,5074.02,Large Cap,High Sales,11.45
H P C L,58034.78,57474.25,Large Cap,High Sales,1.01
ICICI Pru Life,57748.98,13555.32,Large Cap,High Sales,4.26
Britannia Inds.,56837.2,2567.48,Large Cap,Medium Sales,22.14
Tech Mahindra,56244.26,7775.96,Large Cap,High Sales,7.23
Hindalco Inds.,55854.68,11022.81,Large Cap,High Sales,5.07
Zee Entertainmen,54817.89,1838.07,Large Cap,Medium Sales,29.82
Cairn India,53528.57,2149.36,Large Cap,Medium Sales,24.9
Indiabulls Hous.,52781.67,3115.89,Large Cap,High Sales,16.94
Ambuja Cem.,52361.46,6170.71,Large Cap,High Sales,8.49
Interglobe Aviat,48621.37,6177.88,Large Cap,High Sales,7.87
Cipla,48577.43,3913.82,Large Cap,High Sales,12.41
Piramal Enterp.,47483.97,2858.36,Large Cap,High Sales,16.61
United Spirits,46725.05,2263.3,Large Cap,Medium Sales,20.64
Pidilite Inds.,45855.5,1542.9,Large Cap,Medium Sales,29.72
Siemens,44239.04,2429.5,Large Cap,Medium Sales,18.21
Cadila Health.,41876.19,3259.6,Large Cap,High Sales,12.85
NMDC,41415.33,2469.03,Large Cap,Medium Sales,16.77
DLF,40159.35,1693.72,Large Cap,Medium Sales,23.71
Marico,39813.84,1337.59,Large Cap,Medium Sales,29.77
Ashok Leyland,39047.57,7113.16,Large Cap,High Sales,5.49
Bharat Electron,37776.23,2512.82,Large Cap,Medium Sales,15.03
ICICI Lombard,37219.22,2110.99,Large Cap,Medium Sales,17.63
Lupin,36878.85,3975.62,Large Cap,High Sales,9.28
Petronet LNG,36615.0,7757.06,Large Cap,High Sales,4.72
Aditya Birla Cap,36215.92,3325.02,Large Cap,High Sales,10.89
Dr Reddy's Labs,35893.55,3834.1,Large Cap,High Sales,9.36
Sun TV Network,35824.26,683.28,Large Cap,Low Sales,52.43
S A I L,35729.04,15323.65,Large Cap,High Sales,2.33
UPL,35349.58,4194.0,Large Cap,High Sales,8.43
Oracle Fin.Serv.,34620.19,1059.12,Large Cap,Low Sales,32.69
Bharat Forge,34397.69,1390.55,Large Cap,Medium Sales,24.74
Biocon,34347.0,1057.9,Large Cap,Low Sales,32.47
B H E L,34162.38,6626.35,Large Cap,High Sales,5.16
Aurobindo Pharma,33676.52,4336.11,Large Cap,High Sales,7.77
Bank of Baroda,33364.23,11303.24,Large Cap,High Sales,2.95
Idea Cellular,33047.33,6509.6,Large Cap,High Sales,5.08
A B B,31983.33,2779.4,Large Cap,High Sales,11.51
Havells India,31798.18,1965.77,Large Cap,Medium Sales,16.18
Container Corpn.,31450.56,1639.55,Large Cap,Medium Sales,19.18
TVS Motor Co.,30919.51,3684.95,Large Cap,High Sales,8.39
ACC,30803.68,3494.24,Large Cap,High Sales,8.82
Bajaj Holdings,30305.94,317.85,Large Cap,Very Low Sales,95.35
P & G Hygiene,30202.12,704.16,Large Cap,Low Sales,42.89
MRF,30030.01,3798.82,Large Cap,High Sales,7.91
Shriram Trans.,29327.64,3087.67,Large Cap,High Sales,9.5
L&T Fin.Holdings,28932.43,2630.17,Large Cap,Medium Sales,11.0
Punjab Natl.Bank,28270.22,12175.48,Large Cap,High Sales,2.32
NHPC Ltd,28059.24,1497.93,Large Cap,Medium Sales,18.73
Power Fin.Corpn.,27905.66,6194.77,Large Cap,High Sales,4.5
United Breweries,27797.69,1197.1,Large Cap,Medium Sales,23.22
Oil India,27404.15,2852.55,Large Cap,High Sales,9.61
Rural Elec.Corp.,27382.24,5498.45,Large Cap,High Sales,4.98
GlaxoSmith C H L,27340.89,1034.67,Large Cap,Low Sales,26.42
M & M Fin. Serv.,26928.37,2182.45,Large Cap,Medium Sales,12.34
Divi's Lab.,26915.86,1037.88,Large Cap,Low Sales,25.93
Kansai Nerolac,26409.76,1145.01,Large Cap,Medium Sales,23.07
Alkem Lab,25957.56,1422.52,Large Cap,Medium Sales,18.25
LIC Housing Fin.,25880.98,3738.1,Large Cap,High Sales,6.92
Future Retail,25859.25,4693.39,Large Cap,High Sales,5.51
Page Industries,25383.03,621.03,Large Cap,Low Sales,40.87
Dalmia Bhar.,25288.97,2090.54,Large Cap,Medium Sales,12.1
IIFL Holdings,24788.54,1612.14,Large Cap,Medium Sales,15.38
L & T Infotech,24626.1,1883.8,Large Cap,Medium Sales,13.07
Aditya Bir. Nuv.,24592.21,4287.12,Large Cap,High Sales,5.74
Emami,23720.37,756.64,Large Cap,Low Sales,31.35
Cummins India,23562.0,1354.67,Large Cap,Medium Sales,17.39
Berger Paints,23537.8,1338.63,Mid Cap,Medium Sales,17.58
Rajesh Exports,23495.54,41304.84,Mid Cap,High Sales,0.57
Tata Power Co.,23369.24,6949.91,Mid Cap,High Sales,3.36
